transaction_id,client_id,transaction_amount,transaction_date,transaction_type,status,origin_country,destination_country,name,country,age,kyc_status,customer_type,registration_date,origin_risk_level,origin_aml_score,destination_risk_level,destination_aml_score,document_type,doc_verification_status,doc_upload_date,days_since_transaction,days_since_registration,is_cross_border,cross_border_to_high_risk,ml_anomaly_flag,ml_anomaly_score,ml_risk_score,ml_risk_category,reason
1,1,29956,2025-09-08,Deposit,Completed,Russia,UAE,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Medium,75,Utility Bill,Failed,2025-02-18,35,111,1,0,-1,-0.08544938784402462,36.96,Suspicious,large_tx_flag
2,1,4065,2025-07-20,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,85,111,0,0,1,0.0,14.0,Normal,None
3,1,4315,2025-07-19,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,86,111,0,0,1,0.0,14.0,Normal,None
4,1,2390,2025-08-19,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,55,111,0,0,1,0.0,14.0,Normal,None
5,1,2920,2025-09-04,Withdrawal,Failed,Russia,China,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Medium,65,Utility Bill,Failed,2025-02-18,39,111,1,0,1,0.05210346042305769,0.0,Normal,None
6,1,2520,2025-08-26,Withdrawal,Completed,Russia,Canada,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Low,93,Utility Bill,Failed,2025-02-18,48,111,1,0,1,0.05210346042305769,0.0,Normal,None
7,1,2359,2025-08-22,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,52,111,0,0,1,0.0,14.0,Normal,None
8,1,49499,2025-09-12,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,31,111,0,0,-1,-0.26603677087854366,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag"
9,1,2873,2025-09-11,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,32,111,0,0,1,0.0,14.0,Normal,None
10,1,4909,2025-08-26,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,48,111,0,0,1,0.0,14.0,Normal,None
11,1,25577,2025-10-13,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,0,111,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
12,1,4828,2025-09-25,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,18,111,0,0,1,0.0,14.0,Normal,None
13,1,33711,2025-08-07,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,67,111,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
14,1,4717,2025-10-12,Deposit,Completed,Russia,UAE,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Medium,75,Utility Bill,Failed,2025-02-18,1,111,1,0,1,0.05210346042305769,0.0,Normal,None
15,1,2341,2025-09-22,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,21,111,0,0,1,0.0,14.0,Normal,None
16,1,4044,2025-07-28,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,77,111,0,0,1,0.0,14.0,Normal,None
17,1,2078,2025-08-20,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,54,111,0,0,1,0.0,14.0,Normal,None
18,1,4320,2025-07-17,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,88,111,0,0,1,0.0,14.0,Normal,None
19,1,3795,2025-09-19,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,24,111,0,0,1,0.0,14.0,Normal,None
20,1,3582,2025-09-25,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,18,111,0,0,1,0.0,14.0,Normal,None
21,1,3105,2025-10-07,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,6,111,0,0,1,0.0,14.0,Normal,None
22,1,2959,2025-09-06,Investment,Completed,Russia,Canada,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Low,93,Utility Bill,Failed,2025-02-18,37,111,1,0,1,0.05210346042305769,0.0,Normal,None
23,1,2475,2025-10-10,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,3,111,0,0,1,0.0,14.0,Normal,None
24,1,3143,2025-10-13,Withdrawal,Completed,Russia,Australia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Low,91,Utility Bill,Failed,2025-02-18,0,111,1,0,1,0.05210346042305769,0.0,Normal,None
25,1,3492,2025-07-20,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,85,111,0,0,1,0.0,14.0,Normal,None
26,1,34306,2025-08-26,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,48,111,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
27,1,4324,2025-09-30,Deposit,Failed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,13,111,0,0,1,0.0,14.0,Normal,None
28,1,3178,2025-09-14,Investment,Pending,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,29,111,0,0,1,0.0,14.0,Normal,None
29,1,3510,2025-08-11,Investment,Completed,Russia,China,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Medium,65,Utility Bill,Failed,2025-02-18,63,111,1,0,1,0.05210346042305769,0.0,Normal,None
30,1,3098,2025-10-07,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,6,111,0,0,1,0.0,14.0,Normal,None
31,1,27508,2025-07-19,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,86,111,0,0,-1,-0.26603677087854366,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag"
32,1,30093,2025-09-13,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,30,111,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
33,1,21691,2025-08-08,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,66,111,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
34,1,4409,2025-08-05,Transfer,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,69,111,0,0,1,0.0,14.0,Normal,None
35,1,3772,2025-07-28,Transfer,Completed,Russia,Canada,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Low,93,Utility Bill,Failed,2025-02-18,77,111,1,0,1,0.05210346042305769,0.0,Normal,None
36,1,4708,2025-08-13,Deposit,Completed,Russia,China,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,Medium,65,Utility Bill,Failed,2025-02-18,61,111,1,0,1,0.05210346042305769,0.0,Normal,None
37,1,2312,2025-09-03,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,40,111,0,0,1,0.0,14.0,Normal,None
38,1,4213,2025-09-25,Investment,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,18,111,0,0,1,0.0,14.0,Normal,None
39,1,3030,2025-09-14,Withdrawal,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,29,111,0,0,1,0.0,14.0,Normal,None
40,1,2567,2025-10-08,Deposit,Completed,Russia,Russia,Client_1,Russia,51,Under Review,Individual,2025-06-24,High,50,High,50,Utility Bill,Failed,2025-02-18,5,111,0,0,1,0.0,14.0,Normal,None
41,2,42972,2025-09-03,Withdrawal,Pending,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,40,249,0,0,-1,-0.26603677087854366,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag"
42,2,3222,2025-10-07,Withdrawal,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,6,249,0,0,1,0.0,14.0,Normal,None
43,2,43998,2025-10-05,Investment,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,8,249,0,0,-1,-0.15957769083500867,56.87,Suspicious,"large_tx_flag, dest_high_risk"
44,2,3573,2025-08-12,Withdrawal,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,62,249,0,0,1,0.0,14.0,Normal,None
45,2,3117,2025-08-06,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,68,249,0,0,1,0.0,14.0,Normal,None
46,2,3036,2025-08-02,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,72,249,0,0,1,0.0,14.0,Normal,None
47,2,3630,2025-10-05,Deposit,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,8,249,0,0,1,0.0,14.0,Normal,None
48,2,4686,2025-08-13,Withdrawal,Pending,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,61,249,0,0,1,0.0,14.0,Normal,None
49,2,2498,2025-10-06,Withdrawal,Pending,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,7,249,0,0,1,0.0,14.0,Normal,None
50,2,3492,2025-09-24,Investment,Completed,Nigeria,Australia,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,Low,91,Bank Statement,Failed,2025-05-09,19,249,1,0,1,0.05210346042305769,0.0,Normal,None
51,2,3270,2025-07-16,Withdrawal,Completed,Nigeria,UK,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,Low,92,Bank Statement,Failed,2025-05-09,89,249,1,0,1,0.05210346042305769,0.0,Normal,None
52,2,3895,2025-08-31,Investment,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,43,249,0,0,1,0.0,14.0,Normal,None
53,2,2834,2025-08-01,Transfer,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,73,249,0,0,1,0.0,14.0,Normal,None
54,2,3781,2025-08-27,Withdrawal,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,47,249,0,0,1,0.0,14.0,Normal,None
55,2,3630,2025-09-22,Withdrawal,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,21,249,0,0,1,0.0,14.0,Normal,None
56,2,3447,2025-09-03,Investment,Completed,Nigeria,Nigeria,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,45,Bank Statement,Failed,2025-05-09,40,249,0,0,1,0.0,14.0,Normal,None
57,2,4105,2025-07-28,Transfer,Completed,Nigeria,Russia,Client_2,Nigeria,71,Under Review,Business,2025-02-06,High,45,High,50,Bank Statement,Failed,2025-05-09,77,249,1,1,-1,-0.17607471840239736,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk"
