transaction_id,client_id,transaction_amount,transaction_date,transaction_type,status,origin_country,destination_country
1,1,29956,2025-09-08,Deposit,Completed,Russia,UAE
2,1,4065,2025-07-20,Transfer,Completed,Russia,Russia
3,1,4315,2025-07-19,Withdrawal,Completed,Russia,Russia
4,1,2390,2025-08-19,Transfer,Completed,Russia,Russia
5,1,2920,2025-09-04,Withdrawal,Failed,Russia,China
6,1,2520,2025-08-26,Withdrawal,Completed,Russia,Canada
7,1,2359,2025-08-22,Deposit,Completed,Russia,Russia
8,1,49499,2025-09-12,Withdrawal,Completed,Russia,Russia
9,1,2873,2025-09-11,Deposit,Completed,Russia,Russia
10,1,4909,2025-08-26,Investment,Completed,Russia,Russia
11,1,25577,2025-10-13,Investment,Completed,Russia,Russia
12,1,4828,2025-09-25,Withdrawal,Completed,Russia,Russia
13,1,33711,2025-08-07,Deposit,Completed,Russia,Russia
14,1,4717,2025-10-12,Deposit,Completed,Russia,UAE
15,1,2341,2025-09-22,Investment,Completed,Russia,Russia
16,1,4044,2025-07-28,Deposit,Completed,Russia,Russia
17,1,2078,2025-08-20,Withdrawal,Completed,Russia,Russia
18,1,4320,2025-07-17,Transfer,Completed,Russia,Russia
19,1,3795,2025-09-19,Transfer,Completed,Russia,Russia
20,1,3582,2025-09-25,Withdrawal,Completed,Russia,Russia
21,1,3105,2025-10-07,Investment,Completed,Russia,Russia
22,1,2959,2025-09-06,Investment,Completed,Russia,Canada
23,1,2475,2025-10-10,Deposit,Completed,Russia,Russia
24,1,3143,2025-10-13,Withdrawal,Completed,Russia,Australia
25,1,3492,2025-07-20,Deposit,Completed,Russia,Russia
26,1,34306,2025-08-26,Transfer,Completed,Russia,Russia
27,1,4324,2025-09-30,Deposit,Failed,Russia,Russia
28,1,3178,2025-09-14,Investment,Pending,Russia,Russia
29,1,3510,2025-08-11,Investment,Completed,Russia,China
30,1,3098,2025-10-07,Investment,Completed,Russia,Russia
31,1,27508,2025-07-19,Withdrawal,Completed,Russia,Russia
