transaction_id,client_id,transaction_amount,origin_country,destination_country,transaction_date,transaction_risk_score,triggered_rules
1,1,29956,Russia,UAE,2025-09-08,0.8,High Transaction Amount(0.8)
2,1,4065,Russia,Russia,2025-07-20,0.9,High-Risk Country (Destination)(0.9)
3,1,4315,Russia,Russia,2025-07-19,0.9,High-Risk Country (Destination)(0.9)
4,1,2390,Russia,Russia,2025-08-19,0.9,High-Risk Country (Destination)(0.9)
5,1,2920,Russia,China,2025-09-04,0.0,None
6,1,2520,Russia,Canada,2025-08-26,0.0,None
7,1,2359,Russia,Russia,2025-08-22,0.9,High-Risk Country (Destination)(0.9)
8,1,49499,Russia,Russia,2025-09-12,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
9,1,2873,Russia,Russia,2025-09-11,0.9,High-Risk Country (Destination)(0.9)
10,1,4909,Russia,Russia,2025-08-26,0.9,High-Risk Country (Destination)(0.9)
11,1,25577,Russia,Russia,2025-10-13,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
12,1,4828,Russia,Russia,2025-09-25,0.9,High-Risk Country (Destination)(0.9)
13,1,33711,Russia,Russia,2025-08-07,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
14,1,4717,Russia,UAE,2025-10-12,0.0,None
15,1,2341,Russia,Russia,2025-09-22,0.9,High-Risk Country (Destination)(0.9)
16,1,4044,Russia,Russia,2025-07-28,0.9,High-Risk Country (Destination)(0.9)
17,1,2078,Russia,Russia,2025-08-20,0.9,High-Risk Country (Destination)(0.9)
18,1,4320,Russia,Russia,2025-07-17,0.9,High-Risk Country (Destination)(0.9)
19,1,3795,Russia,Russia,2025-09-19,0.9,High-Risk Country (Destination)(0.9)
20,1,3582,Russia,Russia,2025-09-25,0.9,High-Risk Country (Destination)(0.9)
21,1,3105,Russia,Russia,2025-10-07,0.9,High-Risk Country (Destination)(0.9)
22,1,2959,Russia,Canada,2025-09-06,0.0,None
23,1,2475,Russia,Russia,2025-10-10,0.9,High-Risk Country (Destination)(0.9)
24,1,3143,Russia,Australia,2025-10-13,0.0,None
25,1,3492,Russia,Russia,2025-07-20,0.9,High-Risk Country (Destination)(0.9)
26,1,34306,Russia,Russia,2025-08-26,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
27,1,4324,Russia,Russia,2025-09-30,0.9,High-Risk Country (Destination)(0.9)
28,1,3178,Russia,Russia,2025-09-14,0.9,High-Risk Country (Destination)(0.9)
29,1,3510,Russia,China,2025-08-11,0.0,None
30,1,3098,Russia,Russia,2025-10-07,0.9,High-Risk Country (Destination)(0.9)
31,1,27508,Russia,Russia,2025-07-19,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
32,1,30093,Russia,Russia,2025-09-13,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
33,1,21691,Russia,Russia,2025-08-08,1.7000000000000002,"High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
34,1,4409,Russia,Russia,2025-08-05,0.9,High-Risk Country (Destination)(0.9)
35,1,3772,Russia,Canada,2025-07-28,0.0,None
36,1,4708,Russia,China,2025-08-13,0.0,None
37,1,2312,Russia,Russia,2025-09-03,0.9,High-Risk Country (Destination)(0.9)
38,1,4213,Russia,Russia,2025-09-25,0.9,High-Risk Country (Destination)(0.9)
39,1,3030,Russia,Russia,2025-09-14,0.9,High-Risk Country (Destination)(0.9)
40,1,2567,Russia,Russia,2025-10-08,0.9,High-Risk Country (Destination)(0.9)
