transaction_id,client_id,transaction_amount,transaction_type,transaction_score_from_business_rules,ml_anomaly_flag,ml_anomaly_score,ml_risk_score,ml_risk_category,reason,triggered_rules
1,1,29956,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
2,1,4065,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
3,1,4315,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
4,1,2390,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
7,1,2359,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
8,1,49499,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
9,1,2873,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
10,1,4909,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
11,1,25577,Investment,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
12,1,4828,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
13,1,33711,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
15,1,2341,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
16,1,4044,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
17,1,2078,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
18,1,4320,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
19,1,3795,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
20,1,3582,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
21,1,3105,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
23,1,2475,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
25,1,3492,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
26,1,34306,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
27,1,4324,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
28,1,3178,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
30,1,3098,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
31,1,27508,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
32,1,30093,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
33,1,21691,Transfer,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
34,1,4409,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
37,1,2312,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
38,1,4213,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
39,1,3030,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
40,1,2567,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
41,2,42972,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
42,2,3222,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
43,2,43998,Investment,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
44,2,3573,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
45,2,3117,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
46,2,3036,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
47,2,3630,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
48,2,4686,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
49,2,2498,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
52,2,3895,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
53,2,2834,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
54,2,3781,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
55,2,3630,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
56,2,3447,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
57,2,4105,Transfer,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
58,2,2262,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
59,2,4118,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
60,2,3473,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
61,2,2903,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
63,2,4819,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
64,2,2208,Deposit,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
65,2,4048,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
67,3,4895,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
68,3,28984,Deposit,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
69,3,4312,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
85,4,3711,Deposit,1.8,-1,-0.1760747184023973,61.31,Suspicious,"dest_high_risk, cross_border_to_high_risk","High-Risk Country (Destination)(0.9), Cross-Border to High-Risk Country(0.9)"
91,4,33698,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
92,4,48765,Deposit,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
95,4,29254,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
98,4,23877,Withdrawal,0.8,-1,-0.2056878940088681,69.26,Suspicious,"large_tx_flag, very_large_withdrawal_flag",High Transaction Amount(0.8)
102,5,49462,Investment,1.7000000000000002,-1,-0.1595776908350086,56.87,Suspicious,"large_tx_flag, dest_high_risk","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
103,5,3889,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
104,5,3190,Transfer,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
105,5,3695,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
106,5,3503,Investment,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
107,5,23528,Transfer,0.8,-1,-0.0854493878440246,36.96,Suspicious,large_tx_flag,High Transaction Amount(0.8)
108,6,2037,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
109,6,3183,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
110,6,3794,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
111,6,25471,Withdrawal,1.7000000000000002,-1,-0.2660367708785436,85.48,Suspicious,"large_tx_flag, dest_high_risk, very_large_withdrawal_flag","High Transaction Amount(0.8), High-Risk Country (Destination)(0.9)"
112,6,2066,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
113,6,4056,Withdrawal,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
114,6,3463,Deposit,0.9,1,0.0,14.0,Normal,,High-Risk Country (Destination)(0.9)
